Stage,Plastochron,Segment,Treatment,Length
S2,P3,Total,L88 57 High Light,8.10
S2,P3,Total,L88 57 High Light,8.60
S2,P3,Total,L88 57 High Light,8.70
S2,P2,Total,L88 57 Low Light,7.60
S2,P2,Total,L88 57 Low Light,8.10
S2,P2,Total,L88 57 Low Light,8.80
S2,P2,Total,L88 57 Low Light,7.50
S2,P2,Total,L88 57 Low Light,7.40
S2,P2,Total,L88 57 Low Light,7.10
S2,P2,Total,L88 57 Low Light,7.50
S2,P2,Total,L88 57 Low Light,6.80
S2,P2,Total,L88 57 Low Light,7.50
S2,P2,Total,L88 57 Low Light,7.80
S2,P2,Total,L88 57 Low Light,7.80
S2,P2,Total,L88 57 Low Light,9.50
S2,P2,Total,L88 57 Low Light,8.40
S2,P2,Total,L88 57 Low Light,7.40
S2,P2,Total,L88 57 Low Light,6.20
S2,P2,Total,L88 57 Low Light,7.60
S2,P2,Total,L88 57 Low Light,7.00
S2,P2,Total,L88 57 Low Light,7.10
S2,P2,Total,L88 57 Low Light,6.00
S2,P2,Total,L88 57 Low Light,6.80
S2,P2,Total,L88 57 High Light,8.00
S2,P2,Total,L88 57 High Light,7.00
S2,P2,Total,L88 57 High Light,7.90
S2,P2,Total,L88 57 High Light,7.50
S2,P2,Total,L88 57 High Light,7.50
S2,P2,Total,L88 57 High Light,9.00
S2,P2,Total,L88 57 High Light,7.30
S2,P2,Total,L88 57 High Light,7.50
S2,P2,Total,L88 57 High Light,7.50
S2,P2,Total,L88 57 High Light,7.80
S2,P2,Total,L88 57 High Light,6.90
S2,P2,Total,L88 57 High Light,6.10
S2,P2,Total,L88 57 High Light,7.40
S2,P2,Total,L88 57 High Light,8.00
S2,P2,Total,L88 57 High Light,7.50
S2,P2,Total,L88 57 High Light,7.30
S2,P2,Total,L88 57 High Light,6.50
S2,P2,Total,L88 57 High Light,7.60
S2,P2,Total,L88 57 High Light,8.00
S2,P2,Total,L88 57 High Light,8.10
S2,P1,Total,L88 57 Low Light,6.80
"S1, S2",P1,Total,L88 57 Low Light,7.60
"S1, S2",P1,Total,L88 57 Low Light,7.60
"S1, S2",P1,Total,L88 57 Low Light,6.40
"S1, S2",P1,Total,L88 57 Low Light,6.20
"S1, S2",P1,Total,L88 57 Low Light,6.30
"S1, S2",P1,Total,L88 57 Low Light,6.70
"S1, S2",P1,Total,L88 57 Low Light,5.60
"S1, S2",P1,Total,L88 57 Low Light,6.10
"S1, S2",P1,Total,L88 57 Low Light,6.80
"S1, S2",P1,Total,L88 57 Low Light,6.50
"S1, S2",P1,Total,L88 57 Low Light,7.50
"S1, S2",P1,Total,L88 57 Low Light,7.20
"S1, S2",P1,Total,L88 57 Low Light,6.00
"S1, S2",P1,Total,L88 57 Low Light,5.90
"S1, S2",P1,Total,L88 57 Low Light,6.30
"S1, S2",P1,Total,L88 57 Low Light,6.20
"S1, S2",P1,Total,L88 57 Low Light,6.30
"S1, S2",P1,Total,L88 57 Low Light,5.30
"S1, S2",P1,Total,L88 57 Low Light,5.40
"S1, S2",P1,Total,L88 57 High Light,6.80
"S1, S2",P1,Total,L88 57 High Light,5.80
"S1, S2",P1,Total,L88 57 High Light,6.30
"S1, S2",P1,Total,L88 57 High Light,6.30
"S1, S2",P1,Total,L88 57 High Light,6.40
"S1, S2",P1,Total,L88 57 High Light,7.10
"S1, S2",P1,Total,L88 57 High Light,6.00
"S1, S2",P1,Total,L88 57 High Light,5.80
"S1, S2",P1,Total,L88 57 High Light,6.80
"S1, S2",P1,Total,L88 57 High Light,6.80
"S1, S2",P1,Total,L88 57 High Light,6.30
"S1, S2",P1,Total,L88 57 High Light,5.00
"S1, S2",P1,Total,L88 57 High Light,5.90
"S1, S2",P1,Total,L88 57 High Light,6.40
"S1, S2",P1,Total,L88 57 High Light,6.40
"S1, S2",P1,Total,L88 57 High Light,6.20
"S1, S2",P1,Total,L88 57 High Light,5.30
"S1, S2",P1,Total,L88 57 High Light,6.30
"S1, S2",P1,Total,L88 57 High Light,7.30
"S1, S2",P1,Total,L88 57 High Light,7.40
S1,P0,Total,L88 57 Low Light,6.50
S1,P0,Total,L88 57 Low Light,5.70
S1,P0,Total,L88 57 Low Light,6.50
S1,P0,Total,L88 57 Low Light,5.20
S1,P0,Total,L88 57 Low Light,4.90
S1,P0,Total,L88 57 Low Light,4.70
S1,P0,Total,L88 57 Low Light,4.90
S1,P0,Total,L88 57 Low Light,4.30
S1,P0,Total,L88 57 Low Light,4.60
S1,P0,Total,L88 57 Low Light,4.60
S1,P0,Total,L88 57 Low Light,4.10
S1,P0,Total,L88 57 Low Light,5.70
S1,P0,Total,L88 57 Low Light,5.70
S1,P0,Total,L88 57 Low Light,4.50
S1,P0,Total,L88 57 Low Light,4.40
S1,P0,Total,L88 57 Low Light,5.10
S1,P0,Total,L88 57 Low Light,4.80
S1,P0,Total,L88 57 Low Light,4.90
S1,P0,Total,L88 57 Low Light,3.60
S1,P0,Total,L88 57 Low Light,4.40
S1,P0,Total,L88 57 High Light,5.60
S1,P0,Total,L88 57 High Light,4.70
S1,P0,Total,L88 57 High Light,5.00
S1,P0,Total,L88 57 High Light,4.50
S1,P0,Total,L88 57 High Light,4.50
S1,P0,Total,L88 57 High Light,5.10
S1,P0,Total,L88 57 High Light,4.70
S1,P0,Total,L88 57 High Light,4.80
S1,P0,Total,L88 57 High Light,4.70
S1,P0,Total,L88 57 High Light,6.60
S1,P0,Total,L88 57 High Light,3.90
S1,P0,Total,L88 57 High Light,3.50
S1,P0,Total,L88 57 High Light,4.90
S1,P0,Total,L88 57 High Light,4.90
S1,P0,Total,L88 57 High Light,4.70
S1,P0,Total,L88 57 High Light,4.70
S1,P0,Total,L88 57 High Light,3.50
S1,P0,Total,L88 57 High Light,4.70
S1,P0,Total,L88 57 High Light,5.10
S1,P0,Total,L88 57 High Light,5.30
S5,P9,Total,L88 57 Low Light,45.60
S5,P9,Total,L88 57 Low Light,36.60
S5,P9,Total,L88 57 Low Light,36.20
S5,P9,Total,L88 57 Low Light,51.10
S5,P9,Total,L88 57 Low Light,31.10
S5,P9,Total,L88 57 High Light,19.80
S5,P9,Total,L88 57 High Light,23.20
S5,P9,Total,L88 57 High Light,22.50
S5,P9,Total,L88 57 High Light,22.90
S5,P9,Total,L88 57 High Light,25.40
S5,P9,Total,L88 57 High Light,25.40
S5,P9,Total,L88 57 High Light,18.70
"S4, S5",P8,Total,L88 57 Low Light,31.00
"S4, S5",P8,Total,L88 57 Low Light,24.10
"S4, S5",P8,Total,L88 57 Low Light,33.60
"S4, S5",P8,Total,L88 57 Low Light,21.10
"S4, S5",P8,Total,L88 57 Low Light,27.60
"S4, S5",P8,Total,L88 57 Low Light,17.10
"S4, S5",P8,Total,L88 57 Low Light,18.10
"S4, S5",P8,Total,L88 57 High Light,15.50
"S4, S5",P8,Total,L88 57 High Light,17.40
"S4, S5",P8,Total,L88 57 High Light,15.50
"S4, S5",P8,Total,L88 57 High Light,14.50
"S4, S5",P8,Total,L88 57 High Light,16.40
"S4, S5",P8,Total,L88 57 High Light,18.60
"S4, S5",P8,Total,L88 57 High Light,18.10
"S4, S5",P8,Total,L88 57 High Light,29.50
"S4, S5",P8,Total,L88 57 High Light,19.50
"S4, S5",P8,Total,L88 57 High Light,12.40
S4,P7,Total,L88 57 Low Light,24.00
S4,P7,Total,L88 57 Low Light,19.10
S4,P7,Total,L88 57 Low Light,21.00
S4,P7,Total,L88 57 Low Light,16.40
S4,P7,Total,L88 57 Low Light,19.10
S4,P7,Total,L88 57 Low Light,13.60
S4,P7,Total,L88 57 Low Light,23.10
S4,P7,Total,L88 57 Low Light,13.60
S4,P7,Total,L88 57 Low Light,15.70
S4,P7,Total,L88 57 High Light,11.40
S4,P7,Total,L88 57 High Light,13.40
S4,P7,Total,L88 57 High Light,13.50
S4,P7,Total,L88 57 High Light,9.10
S4,P7,Total,L88 57 High Light,15.90
"S3, S4",P6,Total,L88 57 Low Light,19.10
"S3, S4",P6,Total,L88 57 Low Light,12.50
"S3, S4",P6,Total,L88 57 Low Light,16.10
"S3, S4",P6,Total,L88 57 Low Light,12.60
"S3, S4",P6,Total,L88 57 Low Light,16.70
"S3, S4",P6,Total,L88 57 Low Light,12.80
"S3, S4",P6,Total,L88 57 Low Light,13.50
"S3, S4",P6,Total,L88 57 Low Light,11.30
"S3, S4",P6,Total,L88 57 High Light,9.10
"S3, S4",P6,Total,L88 57 High Light,11.10
"S3, S4",P6,Total,L88 57 High Light,9.50
"S3, S4",P6,Total,L88 57 High Light,10.00
"S3, S4",P6,Total,L88 57 High Light,13.10
"S3, S4",P6,Total,L88 57 High Light,11.20
"S3, S4",P6,Total,L88 57 High Light,11.70
"S3, S4",P6,Total,L88 57 High Light,13.10
"S3, S4",P6,Total,L88 57 High Light,12.10
S3,P5,Total,L88 57 Low Light,9.90
S3,P5,Total,L88 57 Low Light,10.40
S3,P5,Total,L88 57 Low Light,10.20
S3,P5,Total,L88 57 High Light,9.10
S3,P5,Total,L88 57 High Light,9.60
S3,P5,Total,L88 57 High Light,7.20
S3,P5,Total,L88 57 High Light,9.20
S3,P5,Total,L88 57 High Light,8.60
S3,P5,Total,L88 57 High Light,10.80
"S2, S3",P4,Total,L88 57 Low Light,8.80
"S2, S3",P4,Total,L88 57 Low Light,9.10
"S2, S3",P4,Total,L88 57 Low Light,13.60
"S2, S3",P4,Total,L88 57 Low Light,11.60
"S2, S3",P4,Total,L88 57 Low Light,8.40
"S2, S3",P4,Total,L88 57 Low Light,9.80
"S2, S3",P4,Total,L88 57 High Light,8.30
"S2, S3",P4,Total,L88 57 High Light,6.80
"S2, S3",P4,Total,L88 57 High Light,9.70
S2,P3,Total,L88 57 Low Light,6.70
S2,P3,Total,L88 57 Low Light,7.30
S2,P3,Total,L88 57 Low Light,7.70
S2,P3,Total,L88 57 Low Light,6.20
S2,P3,Total,L88 57 Low Light,8.20
S2,P3,Total,L88 57 Low Light,10.50
S2,P3,Total,L88 57 High Light,5.70
S2,P3,Total,L88 57 High Light,6.70
S2,P3,Total,L88 57 High Light,6.30
S2,P3,Total,L88 57 High Light,6.70
S2,P3,Total,L88 57 High Light,5.20
S2,P3,Total,L88 57 High Light,5.60
S2,P3,Total,L88 57 High Light,6.60
S2,P3,Total,L88 57 High Light,5.70
S2,P3,Total,L88 57 High Light,5.90
S2,P3,Total,L88 57 High Light,5.70
S2,P3,Total,L88 57 High Light,5.90
S5,P9,Total,Zenith Low Light,26.90
S5,P9,Total,Zenith Low Light,25.20
S5,P9,Total,Zenith Low Light,37.10
S5,P9,Total,Zenith Low Light,27.30
S5,P9,Total,Zenith Low Light,25.00
S5,P9,Total,Zenith Low Light,23.80
S5,P9,Total,Zenith Low Light,24.00
S5,P9,Total,Zenith Low Light,27.40
S5,P9,Total,Zenith Low Light,26.60
S5,P9,Total,Zenith Low Light,29.30
"S4, S5",P8,Total,Zenith Low Light,23.60
"S4, S5",P8,Total,Zenith Low Light,NA
"S4, S5",P8,Total,Zenith Low Light,32.10
"S4, S5",P8,Total,Zenith Low Light,24.10
"S4, S5",P8,Total,Zenith Low Light,23.30
"S4, S5",P8,Total,Zenith Low Light,21.40
"S4, S5",P8,Total,Zenith Low Light,24.40
"S4, S5",P8,Total,Zenith Low Light,23.70
"S4, S5",P8,Total,Zenith Low Light,23.80
"S4, S5",P8,Total,Zenith Low Light,24.00
S4,P7,Total,Zenith Low Light,23.80
S4,P7,Total,Zenith Low Light,20.50
S4,P7,Total,Zenith Low Light,23.90
S4,P7,Total,Zenith Low Light,22.40
S4,P7,Total,Zenith Low Light,20.40
S4,P7,Total,Zenith Low Light,19.80
S4,P7,Total,Zenith Low Light,19.50
S4,P7,Total,Zenith Low Light,21.60
S4,P7,Total,Zenith Low Light,21.60
S4,P7,Total,Zenith Low Light,20.40
"S3, S4",P6,Total,Zenith Low Light,18.10
"S3, S4",P6,Total,Zenith Low Light,21.40
"S3, S4",P6,Total,Zenith Low Light,20.80
"S3, S4",P6,Total,Zenith Low Light,20.30
"S3, S4",P6,Total,Zenith Low Light,18.00
"S3, S4",P6,Total,Zenith Low Light,19.10
"S3, S4",P6,Total,Zenith Low Light,18.80
"S3, S4",P6,Total,Zenith Low Light,18.50
"S3, S4",P6,Total,Zenith Low Light,19.40
"S3, S4",P6,Total,Zenith Low Light,16.80
S3,P5,Total,Zenith Low Light,17.00
S3,P5,Total,Zenith Low Light,17.50
S3,P5,Total,Zenith Low Light,19.70
S3,P5,Total,Zenith Low Light,17.00
S3,P5,Total,Zenith Low Light,15.00
S3,P5,Total,Zenith Low Light,16.90
S3,P5,Total,Zenith Low Light,15.80
S3,P5,Total,Zenith Low Light,16.00
S3,P5,Total,Zenith Low Light,16.50
S3,P5,Total,Zenith Low Light,15.90
"S2, S3",P4,Total,Zenith Low Light,17.10
"S2, S3",P4,Total,Zenith Low Light,16.80
"S2, S3",P4,Total,Zenith Low Light,17.50
"S2, S3",P4,Total,Zenith Low Light,16.20
"S2, S3",P4,Total,Zenith Low Light,14.00
"S2, S3",P4,Total,Zenith Low Light,15.50
"S2, S3",P4,Total,Zenith Low Light,14.90
"S2, S3",P4,Total,Zenith Low Light,14.10
"S2, S3",P4,Total,Zenith Low Light,14.00
"S2, S3",P4,Total,Zenith Low Light,14.00
S2,P3,Total,Zenith Low Light,15.00
S2,P3,Total,Zenith Low Light,16.00
S2,P3,Total,Zenith Low Light,15.80
S2,P3,Total,Zenith Low Light,13.80
S2,P3,Total,Zenith Low Light,13.40
S2,P3,Total,Zenith Low Light,15.10
S2,P3,Total,Zenith Low Light,13.90
S2,P3,Total,Zenith Low Light,14.20
S2,P3,Total,Zenith Low Light,13.00
S2,P3,Total,Zenith Low Light,13.00
S2,P2,Total,Zenith Low Light,15.00
S2,P2,Total,Zenith Low Light,16.00
S2,P2,Total,Zenith Low Light,15.80
S2,P2,Total,Zenith Low Light,13.80
S2,P2,Total,Zenith Low Light,13.40
S2,P2,Total,Zenith Low Light,15.10
S2,P2,Total,Zenith Low Light,13.90
S2,P2,Total,Zenith Low Light,14.20
S2,P2,Total,Zenith Low Light,13.00
S2,P2,Total,Zenith Low Light,13.00
"S1, S2",P1,Total,Zenith Low Light,12.60
"S1, S2",P1,Total,Zenith Low Light,14.50
"S1, S2",P1,Total,Zenith Low Light,12.50
"S1, S2",P1,Total,Zenith Low Light,12.50
"S1, S2",P1,Total,Zenith Low Light,10.00
"S1, S2",P1,Total,Zenith Low Light,12.60
"S1, S2",P1,Total,Zenith Low Light,11.70
"S1, S2",P1,Total,Zenith Low Light,11.10
"S1, S2",P1,Total,Zenith Low Light,9.50
"S1, S2",P1,Total,Zenith Low Light,11.20
S1,P0,Total,Zenith Low Light,10.20
S1,P0,Total,Zenith Low Light,13.50
S1,P0,Total,Zenith Low Light,11.50
S1,P0,Total,Zenith Low Light,11.50
S1,P0,Total,Zenith Low Light,9.90
S1,P0,Total,Zenith Low Light,11.20
S1,P0,Total,Zenith Low Light,10.50
S1,P0,Total,Zenith Low Light,10.50
S1,P0,Total,Zenith Low Light,6.40
S1,P0,Total,Zenith Low Light,10.80
